n,S_obs,S_fit,eps,S_inf,R2,proxy
1,0.7106,0.7147,0.073,1.0,0.934,met_sumet
2,0.7257,0.7348,0.073,1.0,0.934,met_sumet
3,0.7469,0.7535,0.073,1.0,0.934,met_sumet
4,0.7684,0.7709,0.073,1.0,0.934,met_sumet
5,0.7801,0.787,0.073,1.0,0.934,met_sumet
6,0.7842,0.802,0.073,1.0,0.934,met_sumet
7,0.8042,0.8159,0.073,1.0,0.934,met_sumet
8,0.833,0.8289,0.073,1.0,0.934,met_sumet
9,0.8436,0.8409,0.073,1.0,0.934,met_sumet
10,0.8457,0.8521,0.073,1.0,0.934,met_sumet
11,0.8623,0.8625,0.073,1.0,0.934,met_sumet
12,0.8786,0.8722,0.073,1.0,0.934,met_sumet
13,0.8793,0.8812,0.073,1.0,0.934,met_sumet
14,0.8971,0.8896,0.073,1.0,0.934,met_sumet
15,0.8961,0.8973,0.073,1.0,0.934,met_sumet
16,0.8961,0.9046,0.073,1.0,0.934,met_sumet
17,0.9078,0.9113,0.073,1.0,0.934,met_sumet
18,0.9148,0.9175,0.073,1.0,0.934,met_sumet
19,0.9024,0.9233,0.073,1.0,0.934,met_sumet
20,0.9393,0.9287,0.073,1.0,0.934,met_sumet
21,0.9403,0.9338,0.073,1.0,0.934,met_sumet
22,0.9344,0.9384,0.073,1.0,0.934,met_sumet
23,0.9441,0.9428,0.073,1.0,0.934,met_sumet
24,0.9342,0.9468,0.073,1.0,0.934,met_sumet
25,0.9472,0.9505,0.073,1.0,0.934,met_sumet
1,0.7252,0.7066,0.045,1.0,0.782,tau_pt
2,0.7126,0.7196,0.045,1.0,0.782,tau_pt
3,0.7554,0.7319,0.045,1.0,0.782,tau_pt
4,0.7538,0.7437,0.045,1.0,0.782,tau_pt
5,0.7631,0.755,0.045,1.0,0.782,tau_pt
6,0.7741,0.7658,0.045,1.0,0.782,tau_pt
7,0.7901,0.7761,0.045,1.0,0.782,tau_pt
8,0.8031,0.7859,0.045,1.0,0.782,tau_pt
9,0.7982,0.7953,0.045,1.0,0.782,tau_pt
10,0.8338,0.8043,0.045,1.0,0.782,tau_pt
11,0.8231,0.813,0.045,1.0,0.782,tau_pt
12,0.8088,0.8212,0.045,1.0,0.782,tau_pt
13,0.8556,0.8291,0.045,1.0,0.782,tau_pt
14,0.8754,0.8366,0.045,1.0,0.782,tau_pt
15,0.8329,0.8438,0.045,1.0,0.782,tau_pt
16,0.8238,0.8506,0.045,1.0,0.782,tau_pt
17,0.8773,0.8572,0.045,1.0,0.782,tau_pt
18,0.8657,0.8635,0.045,1.0,0.782,tau_pt
19,0.8771,0.8695,0.045,1.0,0.782,tau_pt
20,0.8606,0.8752,0.045,1.0,0.782,tau_pt
21,0.9258,0.8807,0.045,1.0,0.782,tau_pt
22,0.8779,0.886,0.045,1.0,0.782,tau_pt
23,0.8826,0.891,0.045,1.0,0.782,tau_pt
24,0.8722,0.8958,0.045,1.0,0.782,tau_pt
25,0.8789,0.9004,0.045,1.0,0.782,tau_pt
1,0.6811,0.711,0.1,0.881,0.683,ht
2,0.7288,0.7272,0.1,0.881,0.683,ht
3,0.7676,0.7418,0.1,0.881,0.683,ht
4,0.7635,0.7551,0.1,0.881,0.683,ht
5,0.7284,0.7671,0.1,0.881,0.683,ht
6,0.7771,0.7779,0.1,0.881,0.683,ht
7,0.8411,0.7877,0.1,0.881,0.683,ht
8,0.8009,0.7966,0.1,0.881,0.683,ht
9,0.8199,0.8046,0.1,0.881,0.683,ht
10,0.7318,0.8119,0.1,0.881,0.683,ht
11,0.8628,0.8185,0.1,0.881,0.683,ht
12,0.8453,0.8244,0.1,0.881,0.683,ht
13,0.8704,0.8298,0.1,0.881,0.683,ht
14,0.8169,0.8347,0.1,0.881,0.683,ht
15,0.8424,0.8391,0.1,0.881,0.683,ht
16,0.8356,0.8431,0.1,0.881,0.683,ht
17,0.8445,0.8467,0.1,0.881,0.683,ht
18,0.87,0.8499,0.1,0.881,0.683,ht
19,0.8845,0.8529,0.1,0.881,0.683,ht
20,0.8604,0.8556,0.1,0.881,0.683,ht
21,0.8637,0.858,0.1,0.881,0.683,ht
22,0.8232,0.8602,0.1,0.881,0.683,ht
23,0.8592,0.8622,0.1,0.881,0.683,ht
24,0.8943,0.864,0.1,0.881,0.683,ht
25,0.8708,0.8656,0.1,0.881,0.683,ht
1,0.6704,0.7055,0.0412,1.0,0.516,met
2,0.7239,0.7174,0.0412,1.0,0.516,met
3,0.7029,0.7288,0.0412,1.0,0.516,met
4,0.7824,0.7398,0.0412,1.0,0.516,met
5,0.7883,0.7503,0.0412,1.0,0.516,met
6,0.7265,0.7604,0.0412,1.0,0.516,met
7,0.7533,0.77,0.0412,1.0,0.516,met
8,0.7645,0.7793,0.0412,1.0,0.516,met
9,0.7622,0.7882,0.0412,1.0,0.516,met
10,0.775,0.7968,0.0412,1.0,0.516,met
11,0.8932,0.805,0.0412,1.0,0.516,met
12,0.8311,0.8128,0.0412,1.0,0.516,met
13,0.8079,0.8204,0.0412,1.0,0.516,met
14,0.7688,0.8276,0.0412,1.0,0.516,met
15,0.8838,0.8346,0.0412,1.0,0.516,met
16,0.8522,0.8413,0.0412,1.0,0.516,met
17,0.8832,0.8477,0.0412,1.0,0.516,met
18,0.8976,0.8538,0.0412,1.0,0.516,met
19,0.8164,0.8597,0.0412,1.0,0.516,met
20,0.8487,0.8654,0.0412,1.0,0.516,met
21,0.8411,0.8708,0.0412,1.0,0.516,met
22,0.8874,0.876,0.0412,1.0,0.516,met
23,0.9202,0.881,0.0412,1.0,0.516,met
24,0.7912,0.8858,0.0412,1.0,0.516,met
25,0.8725,0.8905,0.0412,1.0,0.516,met
